geo|account_currency|login|paymethod|payment_name|currency|deposit|withdraw|status|conditions|min_dep|is_recommended
FI|EUR|0depnoafffieurdesk|ApplePay Visa/MC|Applepay_Lancelot_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Bank Transfer|Openbanking_Gumballpay_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Bank Transfer|Banktransfer_Payop_Banks|EUR|YES|NO|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|BCH - Bitcoin Cash|BCH_Coinspaid_Cryptopay_Bitcoincash|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|BTC - Bitcoin|BTC_Coinspaid_Cryptopay_Bitcoin|EUR|YES|YES|PROD||50 EUR|NO
FI|EUR|0depnoafffieurdesk|CASHlib|CASHlib_CASHlib_Voucher|EUR|YES|NO|PROD||5 EUR|NO
FI|EUR|0depnoafffieurdesk|CashtoCode|Cashtocode_Cashtocode_Voucher|AUD|YES|NO|PROD||20 AUD|NO
FI|EUR|0depnoafffieurdesk|Commerzbank|commerzbank_nodapay_Banks_0DEP//DE|EUR|YES|NO|PROD|0DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Crypto|Crypto|EUR|YES|YES|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Deutsche Bank|deutsche_nodapay_Banks_0DEP//DE|EUR|YES|NO|PROD|0DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|DOGE - Dogecoin|DOGE_Coinspaid_Cryptopay_Dogecoin|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|ETH -  Ethereum (ERC20)|ETH_Coinspaid_Cryptopay_Etherium|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|eZeeWallet|Ezeewallet_Ezeewallet_Wallet|EUR|YES|YES|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|Flexepin|Flexepin_Flexepin_Voucher|NZD|YES|NO|PROD||20 NZD|NO
FI|EUR|0depnoafffieurdesk|Google Pay|Googlepay_Rastpay_Cards_3DEP//MC|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Google Pay|Googlepay_Rastpay_Cards_2DEP//MC//new|EUR|YES|NO|PROD|2DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Google Pay|Googlepay_Rastpay_Cards_0DEP//AFF//MC|EUR|YES|NO|PROD|0DEP+AFF|20 EUR|NO
FI|EUR|0depnoafffieurdesk|GooglePay|Googlepay_Impaya_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Googlepay|Googlepay_Rampnow_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Googlepay|Googlepay_Rampnow_Cards_3DEP//LocalCur|CAD|YES|NO|PROD|3DEP|20 CAD|NO
FI|EUR|0depnoafffieurdesk|GooglePay Mastercard|Googlepay_Rastpay_Cards_3DEP//Localcurr|CHF|YES|NO|PROD|3DEP|20 CHF|NO
FI|EUR|0depnoafffieurdesk|GooglePay Mastercard|Googlepay_Rastpay_Cards_0DEP//aff//mob|EUR|YES|NO|PROD|0DEP+AFF+MOB|20 EUR|NO
FI|EUR|0depnoafffieurdesk|GooglePay Visa|Googlepay_Gumballpay_Cards_1DEP|EUR|YES|NO|PROD|1DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|GooglePay Visa/MC|Googlepay_Gumballpay_Cards_1DEP//SE|EUR|YES|NO|PROD|1DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|GooglePay Visa/MC|Googlepay_Lancelot_Cards_3DEP|EUR|YES|NO|PROD|3DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Jeton|Jeton_Jeton_Wallet|EUR|YES|YES|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|LTC - Litecoin|LTC_Coinspaid_Cryptopay_Litecoin|EUR|YES|YES|PROD||—|NO
FI|EUR|0depnoafffieurdesk|LuxonPay|Luxonpay_Luxonpay_Wallet|EUR|YES|YES|PROD||20 EUR|NO
FI|EUR|0depnoafffieurdesk|MBway2|MBway_Impaya_Banks_1DEP|EUR|YES|NO|PROD|1DEP|20 EUR|NO
FI|EUR|0depnoafffieurdesk|Mifinity|Mifinity_Mifinity_Wallet|EUR|YES|YES|PROD||20 EUR|NO
