geo|login|title|name|currency|is_recommended|geo_currency
DE|0depaffildeeurdesk|Jeton|Jeton_Jeton_Wallet|EUR|NO|EUR
DE|0depaffildeeurdesk|Crypto|Crypto|EUR|NO|EUR
DE|0depaffildeeurdesk|USDT -  Tether USD (TRC20)|USDTT_Coinspaid_Cryptopay_TetherTRC20|EUR|NO|EUR
DE|0depaffildeeurdesk|LTC - Litecoin|LTC_Coinspaid_Cryptopay_Litecoin|EUR|NO|EUR
DE|0depaffildeeurdesk|ETH -  Ethereum (ERC20)|ETH_Coinspaid_Cryptopay_Etherium|EUR|NO|EUR
DE|0depaffildeeurdesk|TRX - Tron|TRX_Coinspaid_Cryptopay_Tron|EUR|NO|EUR
DE|0depaffildeeurdesk|BTC - Bitcoin|BTC_Coinspaid_Cryptopay_Bitcoin|EUR|NO|EUR
DE|0depaffildeeurdesk|SOL - Solana|SOL_Coinspaid_Cryptopay_Solana|EUR|NO|EUR
DE|0depaffildeeurdesk|XRP - Ripple|Ripple_Coinspaid_Cryptopay_XRP|EUR|NO|EUR
DE|0depaffildeeurdesk|USDT  -  Tether USD (ERC20)|USDTE_Coinspaid_Cryptopay_TetherERC20|EUR|NO|EUR
DE|0depaffildeeurdesk|DOGE - Dogecoin|DOGE_Coinspaid_Cryptopay_Dogecoin|EUR|NO|EUR
DE|0depaffildeeurdesk|MBway|MBway_Colibrix_Banks|EUR|YES|EUR
DE|0depaffildeeurdesk|Multibanco|Multibanco_Colibrix_Banks|EUR|YES|EUR
DE|0depaffildeeurdesk|ADA - Cardano|ADA_Coinspaid_Cryptopay_Cardano|EUR|NO|EUR
DE|0depaffildeeurdesk|USDC - USD Coin|USDC_Coinspaid_Cryptopay_USD Coin|EUR|NO|EUR
DE|0depaffildeeurdesk|BCH - Bitcoin Cash|BCH_Coinspaid_Cryptopay_Bitcoincash|EUR|NO|EUR
DE|0depaffildeeurdesk|TON - Toncoin|TON_Coinspaid_Cryptopay_Toncoin|EUR|NO|EUR
DE|0depaffildeeurdesk|LuxonPay|Luxonpay_Luxonpay_Wallet|EUR|NO|EUR
DE|0depaffildeeurdesk|Binance Pay|Binancepay_Binancepay_Crypto|PLN|NO|EUR
PL_EUR|0depnoaffpleurmobi|Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//mob//noaff|EUR|YES|EUR
PL_EUR|0depnoaffpleurmobi|Wise|Wise_Impaya_Banks|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|Pay by Bank|Openbanking_Rillpay_Banks_EU|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|CASHlib|CASHlib_CASHlib_Voucher|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|Revolut|Revolut_Impaya_Banks|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|Mifinity|Mifinity_Mifinity_Wallet|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|Crypto|Crypto|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|USDT -  Tether USD (TRC20)|USDTT_Coinspaid_Cryptopay_TetherTRC20|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|LTC - Litecoin|LTC_Coinspaid_Cryptopay_Litecoin|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|ETH -  Ethereum (ERC20)|ETH_Coinspaid_Cryptopay_Etherium|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|TRX - Tron|TRX_Coinspaid_Cryptopay_Tron|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|BTC - Bitcoin|BTC_Coinspaid_Cryptopay_Bitcoin|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|SOL - Solana|SOL_Coinspaid_Cryptopay_Solana|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|XRP - Ripple|Ripple_Coinspaid_Cryptopay_XRP|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|USDT  -  Tether USD (ERC20)|USDTE_Coinspaid_Cryptopay_TetherERC20|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|DOGE - Dogecoin|DOGE_Coinspaid_Cryptopay_Dogecoin|EUR|NO|EUR
PL_EUR|0depnoaffpleurmobi|ADA - Cardano|ADA_Coinspaid_Cryptopay_Cardano|EUR|NO|EUR
FI|0depnoafffieurdesk|paymentTest|paymentTest//delete|EUR|NO|EUR
FI|0depnoafffieurdesk|paymentTestDummy|PaymentTestDummy|EUR|NO|EUR
FI|0depnoafffieurdesk|Interac®|Interac_Gigadat_Banks|CAD|YES|EUR
FI|0depnoafffieurdesk|paymentTest|paymentTest|EUR|NO|EUR
FI|0depnoafffieurdesk|Visa/Mastercard|V/M_Corefy_Cards_1DEP|EUR|YES|EUR
FI|0depnoafffieurdesk|Visa/Mastercard|V/M_Corefy_Cards_0DEP//mob//aff|EUR|YES|EUR
FI|0depnoafffieurdesk|Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//desktop|EUR|YES|EUR
FI|0depnoafffieurdesk|Visa/Mastercard|V/M_Directcorefy_Cards_0DEP//mob//noaff|EUR|YES|EUR
FI|0depnoafffieurdesk|BLIK2|Blik_Gate2WayVip_Banks_1DEP|PLN|NO|EUR
FI|0depnoafffieurdesk|MBway|MBway_Impaya_Banks_0DEP//mob//aff|EUR|YES|EUR
FI|0depnoafffieurdesk|MBway|MBway_Utorg_Banks_0DEP//desktop|EUR|YES|EUR
FI|0depnoafffieurdesk|MBway2|MBway_Impaya_Banks_1DEP|EUR|NO|EUR
FI|0depnoafffieurdesk|MBway|MBway_Colibrix_Banks_0DEP//desktop|EUR|YES|EUR
FI|0depnoafffieurdesk|MBway|MBway_Utorg_Banks_0DEP//mob//noaff|EUR|YES|EUR
FI|0depnoafffieurdesk|MBway|MBway_Colibrix_Banks_0DEP//noaff|EUR|YES|EUR
FI|0depnoafffieurdesk|MBway|MBway_Exactly_Banks_1DEP|EUR|YES|EUR
FI|0depnoafffieurdesk|Zimpler|Openbanking_Zimpler_Banks//zimplerlogo|EUR|YES|EUR
FI|0depnoafffieurdesk|MBway|MBway_Exactly_Banks_0DEP//aff|EUR|YES|EUR
FI|0depnoafffieurdesk|Zimpler Välitön pankkisiirto|Openbanking_Zimpler_Banks//bankslogo|EUR|YES|EUR
FI|0depnoafffieurdesk|Paysafecard|Paysafecard_Utorg_Voucher_1DEP//colorlogo|EUR|NO|EUR
FI|0depnoafffieurdesk|Multibanco|Multibanco_Impaya_Banks_0DEP//mob//aff|EUR|YES|EUR
FI|0depnoafffieurdesk|Paysafecard|Paysafecard_Utorg_Voucher_3DEP|EUR|NO|EUR
FI|0depnoafffieurdesk|Multibanco|Multibanco_Impaya_Banks_1DEP|EUR|YES|EUR
FI|0depnoafffieurdesk|PaySafeCard|Paysafecard_Gate2WayVip_Voucher_3DEP//DE|EUR|YES|EUR
FI|0depnoafffieurdesk|Multibanco|Multibanco_Colibrix_Banks_0DEP//desktop|EUR|YES|EUR
FI|0depnoafffieurdesk|Multibanco|Multibanco_Colibrix_Banks_0DEP//mob//noaff|EUR|YES|EUR
FI|0depnoafffieurdesk|BLIK2|Blik_Utorg_Banks_3DEP|PLN|NO|EUR
FI|0depnoafffieurdesk|Carrier Billing|Bizum_Rastpay_Carrierbilling_2DEP|EUR|YES|EUR
FI|0depnoafffieurdesk|Paysafecard|Paysafecard_Utorg_Voucher_0DEP//greylogo|EUR|NO|EUR
FI|0depnoafffieurdesk|Paysafecard|Paysafecard_Skrill_Voucher|EUR|NO|EUR
FI|0depnoafffieurdesk|Carrier Billing|Dimoco_Dimoco_Carrierbilling|EUR|YES|EUR
FI|0depnoafffieurdesk|RapidTransfer|Rapidtransfer_Utorg_Banks_1DEP//colorlogo|EUR|YES|EUR
FI|0depnoafffieurdesk|EPS|EPS_Utorg_Banks_1DEP|EUR|YES|EUR
FI|0depnoafffieurdesk|Per Bank Einzahlen|Nodapay_Nodapay_Banks_0DEP//DE//FTD|EUR|YES|EUR
FI|0depnoafffieurdesk|PayID|Payler_PayID_Banks_2DEP|AUD|YES|EUR
FI|0depnoafffieurdesk|BLIK2|Blik_Utorg_Banks_0DEP//aff//nonseo|PLN|NO|EUR
FI|0depnoafffieurdesk|Per Bank Einzahlen|Nodapay_nodapay_Banks_1DEP//DE|EUR|YES|EUR
FI|0depnoafffieurdesk|Sparkasse|sparkasse_nodapay_Banks_0DEP//DE|EUR|NO|EUR
FI|0depnoafffieurdesk|BLIK|Blik_Gate2WayVip_Banks_0DEP|PLN|YES|EUR
