geo|paymethod|payment_name|currency|deposit|withdraw|status|details|min_dep|is_recommended|methods_count|payment_methods
PT|NTLR|NTLR|EUR|YES|NO|PROD|0DEP|20 EUR|NO|1|Neteller_Utorg_Wallet_0DEP//greylogo
PT|Pay by Bank|Pay by Bank|EUR|YES|NO|PROD||20 EUR|NO|2|Paybybank_Payop_Banks_AT\nOpenbanking_Rillpay_Banks_EU
PT|paymentTest|paymentTest|EUR|YES|NO|PROD||20 EUR|NO|2|paymentTest//delete\npaymentTest
PT|paymentTestDummy|paymentTestDummy|EUR|YES|NO|PROD||20 EUR|NO|1|PaymentTestDummy
PT|Paysafecard|Paysafecard|EUR|YES|NO|PROD|0DEP\n1DEP\n3DEP|15 EUR|NO|4|Paysafecard_Utorg_Voucher_1DEP//colorlogo\nPaysafecard_Utorg_Voucher_3DEP\nPaysafecard_Utorg_Voucher_0DEP//greylogo\nPaysafecard_Skrill_Voucher
PT|Raiffeisenbanken|Raiffeisenbanken|EUR|YES|NO|PROD|0DEP|20 EUR|NO|1|raiffeisenbanken_nodapay_Banks_0DEP//DE
PT|RapidTransfer|RapidTransfer|EUR|YES|NO|PROD|0DEP\n1DEP\n3DEP\n4DEP|20 EUR|NO|6|Rapidtransfer_Utorg_Banks_1DEP//colorlogo\nRapidtransfer_Utorg_Banks_4DEP//DE\nRapidtransfer_Skrill_Banks\nRapidtransfer_Gate2WayVip_Banks_3DEP\nRapidtransfer_Utorg_Banks_0DEP//sofortlogo\nRapidtransfer_Utorg_Banks_0DEP//greylogo
PT|Revolut|Revolut|EUR|YES|NO|PROD|1DEP|20 EUR|NO|3|Revolut_Payop_Banks\nRevolut_Impaya_Banks_1DEP//DE\nRevolut_Impaya_Banks
PT|Skrill|Skrill|EUR|YES|YES|PROD|1DEP\n3DEP|15 EUR|NO|3|Skrill_Skrill_Wallet\nSkrill_Utorg_Wallet_1DEP//colorlogo\nSkrill_Utorg_Wallet_3DEP
PT|SKRL|SKRL|EUR|YES|NO|PROD|0DEP|20 EUR|NO|1|Skrill_Utorg_Wallet_0DEP//greylogo
PT|Sofort|Sofort|EUR|YES|NO|PROD|3DEP|20 EUR|NO|1|Sofort_Gate2Wayvip_Banks_3DEP
PT|Sparkasse|Sparkasse|EUR|YES|NO|PROD|0DEP|20 EUR|NO|1|sparkasse_nodapay_Banks_0DEP//DE
PT|SticPay|SticPay|EUR|YES|YES|PROD||20 EUR|NO|1|Sticpay_Sticpay_Wallet
PT|Trustly|Trustly|EUR|YES|NO|PROD|0DEP+AFF+MOB\n3DEP|20 EUR|NO|3|Trustly_Rizonpay_Banks_3DEP\nTrustly_Rizonpay_Banks_0DEP//mob//aff\nTrustly_Rizonpay_Banks
PT|Wise|Wise|EUR|YES|NO|PROD||20 EUR|NO|1|Wise_Impaya_Banks
PT|ADA - Cardano|ADA - Cardano|EUR|YES|YES|PROD||—|NO|1|ADA_Coinspaid_Cryptopay_Cardano
PT|BCH - Bitcoin Cash|BCH - Bitcoin Cash|EUR|YES|YES|PROD||—|NO|1|BCH_Coinspaid_Cryptopay_Bitcoincash
PT|Binance Pay|Binance Pay|PLN|YES|YES|PROD||20 EUR|NO|1|Binancepay_Binancepay_Crypto
PT|BTC - Bitcoin|BTC - Bitcoin|EUR|YES|YES|PROD||50 EUR|NO|1|BTC_Coinspaid_Cryptopay_Bitcoin
PT|Crypto|Crypto|EUR|YES|YES|PROD||20 EUR|NO|1|Crypto
PT|DOGE - Dogecoin|DOGE - Dogecoin|EUR|YES|YES|PROD||—|NO|1|DOGE_Coinspaid_Cryptopay_Dogecoin
PT|ETH -  Ethereum (ERC20)|ETH -  Ethereum (ERC20)|EUR|YES|YES|PROD||—|NO|1|ETH_Coinspaid_Cryptopay_Etherium
PT|Jeton|Jeton|EUR|YES|YES|PROD||20 EUR|NO|1|Jeton_Jeton_Wallet
PT|LTC - Litecoin|LTC - Litecoin|EUR|YES|YES|PROD||—|NO|1|LTC_Coinspaid_Cryptopay_Litecoin
PT|SOL - Solana|SOL - Solana|EUR|YES|YES|PROD||—|NO|1|SOL_Coinspaid_Cryptopay_Solana
PT|TON - Toncoin|TON - Toncoin|EUR|YES|YES|PROD||—|NO|1|TON_Coinspaid_Cryptopay_Toncoin
PT|TRX - Tron|TRX - Tron|EUR|YES|YES|PROD||—|NO|1|TRX_Coinspaid_Cryptopay_Tron
PT|USDC - USD Coin|USDC - USD Coin|EUR|YES|YES|PROD||—|NO|1|USDC_Coinspaid_Cryptopay_USD Coin
PT|USDT  -  Tether USD (ERC20)|USDT  -  Tether USD (ERC20)|EUR|YES|YES|PROD||—|NO|1|USDTE_Coinspaid_Cryptopay_TetherERC20
PT|USDT -  Tether USD (TRC20)|USDT -  Tether USD (TRC20)|EUR|YES|YES|PROD||20 EUR|NO|1|USDTT_Coinspaid_Cryptopay_TetherTRC20
PT|XRP - Ripple|XRP - Ripple|EUR|YES|YES|PROD||—|NO|1|Ripple_Coinspaid_Cryptopay_XRP
